"","Country","Science06","Sien.S.E.06","Science09","Sien.S.E.09","Math03","Math.S.E.03","Math06","Math.S.E.06","Math09","Math.S.E.09","Reading00","Read.S.E.00","Reading03","Read.S.E.03","Reading06","Read.S.E.06","Reading09","Read.S.E.09","Science12","Sien.s.e.12","Math12","Math.s.e.12","Reading12","Read.s.e.12","Science15","Scie.s.e.15","Math15","Math.s.e.15","Reading15","Read.s.e.15","gdp2000","gdp2003","gdp2006","gdp2009","gdp2012","gdp2015","gdpg2000","gdpg2003","gdpg2006","gdpg2009","gdpg2012","gdpg2015","expend2000","exped2003","expend2006","expend2009","expend2012","expend2015","corrupt2000","corrupt2003","corrupt2006","corrupt2009","corrupt2012","corrupt2015","pol2000","pol2003","pol2006","pol2009","pol2012","pol2015"
"24","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411,2.4,404,2.8,401,3,1436.88,1812.11,2391.41,2753.64,3469.67,3973.22,2.63,12.5,10.81,-2.39,7.74,3.15,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3,3.5,NA,-0.81,-1.3,-0.96,-0.97,-0.68,-0.47
"25","Germany",516,3.8,520,2.8,503,3.32,504,3.87,513,2.86,484,2.47,491,3.39,495,4.41,497,2.66,524,3,514,2.9,508,2.8,509,2.7,506,2.9,509,3,37998.43,38218.35,40456.86,40086.1,44259.26,45412.56,2.82,-0.76,3.82,-5.38,0.3,0.87,NA,NA,20.21,23.86,23.16,NA,NA,NA,NA,NA,NA,NA,1.41,0.58,1.03,0.86,0.78,0.7
"26","Greece",473,3.23,470,4.04,445,3.9,459,2.97,466,3.88,474,4.97,472,4.1,460,4.04,483,4.32,467,3.1,453,2.5,477,3.3,455,3.9,454,3.8,467,4.3,23275.44,26349.28,29176.39,28514.81,22830.53,22648.77,3.5,5.54,5.34,-4.55,-6.8,0.37,19.22,19.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.48,0.63,-0.21,-0.22,-0.23
"27","Hong Kong-China",542,2.47,549,2.75,550,4.54,547,2.67,555,2.73,525,2.93,510,3.69,536,2.42,533,2.12,555,2.6,561,3.2,545,2.8,523,2.5,548,3,527,2.7,23015.89,24010.47,29446.24,30711.48,34086.32,36260.6,6.72,3.26,6.35,-2.67,0.58,1.52,NA,19.07,17.33,16.05,17.11,20.34,NA,NA,NA,NA,NA,NA,0.93,0.95,1.19,0.97,1.01,1.05
"28","Hungary",504,2.68,503,3.14,490,2.84,491,2.89,490,3.45,480,3.95,482,2.47,482,3.28,494,3.17,494,2.9,477,3.2,488,3.2,477,2.4,477,2.5,470,2.7,10490.35,11919.77,13647.15,12974.14,13196.15,14629.24,4.48,4.15,4.01,-6.46,-1.13,3.61,20.04,26.08,22.75,22.14,19.57,NA,NA,NA,NA,NA,NA,NA,0.92,1.13,0.99,0.54,0.68,0.75
"29","Iceland",491,1.64,496,1.41,515,1.42,506,1.81,507,1.39,507,1.45,492,1.56,484,1.95,500,1.41,478,2.1,493,1.7,483,1.8,473,1.7,488,2,482,2,36554.66,37976.67,43703.95,43354.77,42875.65,46221.93,3.18,1.65,2.58,-6.82,0.78,3.23,18.44,21.18,22.21,21.3,19.55,NA,NA,NA,NA,NA,NA,NA,1.58,1.52,1.45,1.19,1.25,1.31
"30","Indonesia",393,5.73,383,3.78,360,3.91,391,5.63,371,3.72,371,3.99,382,3.38,393,5.92,402,3.74,382,3.8,375,4,396,4.2,403,2.6,386,3.1,397,2.9,2143.39,2333.1,2621.96,2970.04,3415.35,3827.55,3.47,3.34,4.07,3.24,4.68,3.65,NA,NA,NA,10.35,10.3,10.51,NA,NA,3,NA,NA,NA,-2,-2.09,-1.42,-0.75,-0.59,-0.62
"31","Ireland",508,3.19,508,3.27,503,2.45,501,2.79,487,2.54,527,3.24,515,2.63,517,3.54,496,2.97,522,2.5,501,2.2,523,2.6,503,2.4,504,2.1,521,2.5,42945.23,47426.37,52926.2,48071.72,49714.03,67229.19,8.11,1.45,2.71,-5.59,-0.39,24.38,15.88,18.46,21.11,28.67,25.86,NA,NA,NA,NA,NA,NA,NA,1.59,1.35,1.19,1.06,0.94,0.91
"32","Israel",454,3.71,455,3.11,NA,NA,442,4.35,447,3.28,452,8.47,NA,NA,439,4.58,474,3.63,470,5,466,4.7,486,5,467,3.4,470,3.6,479,3.8,27636.34,26229.4,28499.33,29658.52,31507.48,32993.31,5.35,-1.04,3.37,-1.01,0.08,1.02,17.79,18.32,17.25,15.91,18.69,NA,NA,NA,NA,NA,NA,NA,-1.04,-1.52,-1.26,-1.63,-1.08,-1.09
"33","Italy",475,2.02,489,1.77,466,3.08,462,2.28,483,1.86,487,2.91,476,3.04,469,2.43,486,1.57,494,1.9,485,2,490,2,481,2.5,490,2.8,485,2.7,36180.78,36729.98,37872.17,35363.4,34885.3,33968.7,3.66,-0.29,1.7,-5.91,-3.08,1.05,25.62,27.12,26.92,25.26,22.85,NA,NA,NA,NA,NA,NA,NA,0.92,0.43,0.53,0.35,0.51,0.38
"34","Japan",531,3.37,539,3.41,534,4.02,523,3.34,529,3.33,522,5.21,498,3.92,498,3.65,520,3.47,547,3.6,536,3.6,538,3.7,538,3,532,3,516,3.2,42169.73,42744.01,44995.49,42724.76,45276.87,47163.49,2.61,1.31,1.36,-5.4,1.66,1.46,20.26,21.51,21.42,NA,24.7,NA,NA,NA,NA,NA,NA,NA,1.2,1.03,1.14,0.98,0.95,1.07
"35","Jordan",422,2.84,415,3.54,NA,NA,384,3.3,387,3.71,NA,NA,NA,NA,401,3.27,405,3.31,409,3.1,386,3.1,399,3.6,409,2.7,380,2.7,408,2.9,2810.04,3082.05,3557.3,3786.53,3481.69,3297.89,2.44,2.05,4.08,0.35,-2.71,-1.52,NA,19.6,17.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.07,-0.76,-0.35,-0.52,-0.61
"36","Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,3,432,3,393,2.7,NA,NA,NA,NA,NA,NA,4491.59,6107.71,7917.2,8573.71,9923.42,10617.47,10.13,8.93,9.54,-1.43,3.33,-0.27,NA,NA,NA,NA,NA,19.16,NA,NA,NA,NA,NA,NA,0.09,0.36,0.21,0.78,-0.41,-0.04
"37","Korea, Republic of",522,3.36,538,3.44,542,3.24,547,3.76,546,4.02,525,2.42,534,3.09,556,3.81,539,3.46,538,3.7,554,4.6,536,3.9,516,3.1,524,3.7,517,3.5,15104.52,17136.66,19427.19,20843.13,23123.76,24870.77,8.02,2.4,4.63,0.19,1.76,2.25,NA,22.48,20.91,NA,NA,28.26,NA,NA,NA,NA,NA,NA,0.4,0.25,0.42,0.41,0.27,0.16
"38","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378,1.7,362,1.6,347,1.6,1919.84,2560.14,2883.74,3203.66,3482.95,3802.05,NA,5.91,3.67,2.51,2.09,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,0.43,-1.04,-0.2
"39","Kyrgyzstan",322,2.93,330,2.92,NA,NA,311,3.41,331,2.87,NA,NA,NA,NA,285,3.48,314,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Latvia",490,2.97,494,3.07,483,3.69,486,3.03,482,3.07,458,5.27,491,3.67,479,3.73,484,2.96,502,2.8,491,2.8,489,2.4,490,1.6,482,1.9,488,1.8,6934.72,8872.1,12278.31,11547.99,12924.73,14284.29,6.43,9.48,12.92,-12.98,5.33,3.82,22.86,22.94,17.4,30,34.85,NA,NA,NA,NA,NA,NA,NA,0.42,1,0.84,0.35,0.45,0.44
"41","Lebanon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,3.4,396,3.7,347,4.4,6747.63,6539.66,6592.54,8501.11,8107.44,7189.63,-1.12,-1.76,-0.21,8.16,-4.06,-3.46,NA,NA,NA,NA,4.06,NA,NA,NA,NA,NA,NA,NA,-0.44,-0.46,-1.81,-1.56,-1.66,-1.7
"42","Liechtenstein",522,4.1,520,3.42,536,4.12,525,4.21,536,4.06,483,4.12,525,3.58,510,3.91,499,2.8,525,3.5,535,4,516,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84,-2.8,7.89,-1.78,NA,NA,NA,11.05,10.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17,1.46,1.35,1.55,1.39,1.46
"43","Lithuania",488,2.76,491,2.93,NA,NA,486,2.93,477,2.62,NA,NA,NA,NA,470,2.98,468,2.39,496,2.6,479,2.6,477,2.5,475,2.7,478,2.3,472,2.7,6933.59,8931.52,11500.53,11546.82,13679.15,15383.46,4.56,11.44,9.13,-13.86,5.23,3,NA,19.63,19.15,25.68,17.21,NA,NA,NA,NA,NA,NA,NA,0.42,1.05,0.87,0.63,0.79,0.76
"44","Luxembourg",486,1.05,484,1.23,493,0.97,490,1.07,489,1.18,NA,NA,479,1.48,479,1.28,472,1.25,491,1.3,490,1.1,488,1.5,483,1.1,486,1.3,481,1.4,93462.92,97678.46,104943.44,101939.61,102404.61,107648.61,6.79,0.4,3.51,-6.11,-2.72,0.46,NA,23.41,20.22,NA,21.67,NA,NA,NA,NA,NA,NA,NA,1.61,1.44,1.4,1.45,1.33,1.44
"45","Macao-China",511,1.06,511,1.03,527,2.89,525,1.3,525,0.92,NA,NA,498,2.16,492,1.1,487,0.89,521,0.8,538,1,509,0.9,529,1.1,544,1.1,509,1.3,22524.49,26220.1,37959.21,42739.33,66449.04,53580.49,3.43,8.92,10.84,-0.79,6.69,-23.18,10.1,NA,NA,NA,16.74,34.38,NA,NA,NA,NA,NA,NA,0.49,1.12,0.97,0.61,0.63,1.2
"46","Macedonia, Republic of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,1.2,371,1.3,352,1.4,3448.83,3436.97,3942.44,4398.77,4620.64,5104.78,4.01,2,4.99,-0.44,-0.54,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.62,-0.99,-0.74,-0.3,-0.49,-0.29
"47","Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,3,421,3.2,398,3.3,NA,NA,NA,NA,NA,NA,7009.66,7377.36,8273.73,8599.44,9708.94,10745.05,6.37,3.69,3.63,-3.28,3.54,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.49,0.29,-0.04,-0.01,0.26
"48","Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,1.6,479,1.7,447,1.8,18306.67,19035.36,19870.75,20466.56,21657.97,25342.02,6.08,1.87,1.46,-3.19,1.79,7.04,NA,NA,NA,NA,40.11,NA,NA,NA,NA,NA,NA,NA,1.59,1.55,1.23,1.25,1.07,1.06
"49","Mexico",410,2.71,416,1.79,385,3.64,406,2.93,419,1.83,422,3.31,400,4.09,410,3.06,425,1.95,415,1.3,413,1.4,424,1.5,416,2.1,408,2.2,423,2.6,8997.43,8749.78,9327.74,8712.14,9405.81,9717.9,3.48,0.21,2.96,-6.8,2.15,1.9,NA,15.68,14.16,15.77,16.04,NA,NA,NA,NA,NA,NA,NA,-0.2,-0.12,-0.64,-0.69,-0.66,-0.8
"50","Moldova, Republic of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428,2,420,2.5,416,2.5,968.29,1189.31,1450.13,1521.86,1731.51,1980.27,2.32,6.9,5.09,-5.88,-0.69,-0.34,NA,NA,NA,39.37,37.38,39.08,NA,NA,3,3,3.5,2.5,-0.43,-0.13,-0.37,-0.59,0.05,-0.33
"51","Montenegro, Republic of",412,1.06,401,2.03,NA,NA,399,1.37,403,2.03,NA,NA,NA,NA,392,1.22,408,1.72,410,1.1,410,1.1,422,1.2,411,1,418,1.5,427,1.6,4950.22,5164.1,6072.03,6516.36,6697.45,7279.89,3.28,2.07,8.43,-6,-2.81,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.82,0.6,0.14
"52","Netherlands",525,2.74,522,5.42,538,3.13,531,2.59,526,4.75,NA,NA,513,2.85,507,2.92,508,5.15,522,3.5,523,3.5,511,3.5,509,2.3,512,2.2,503,2.4,46133.18,46422.02,49720.39,49897.23,50212.96,51410.49,3.5,-0.19,3.35,-4.26,-1.42,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76,1.16,0.9,0.94,1.19,0.93
"53","New Zealand",530,2.69,532,2.58,523,2.26,522,2.39,519,2.31,529,2.78,522,2.46,521,2.99,521,2.35,516,2.1,500,2.2,512,2.4,513,2.4,495,2.3,509,2.4,28972.98,31639.48,33324.5,33743.99,35003.28,37038.85,1.69,2.5,1.33,0.9,1.94,2.48,NA,NA,NA,NA,NA,21.71,NA,NA,NA,NA,NA,NA,1.36,1.19,1.26,1.07,1.36,1.53
"54","Norway",487,3.11,500,2.6,495,2.38,490,2.64,498,2.4,505,2.8,500,2.78,484,3.18,503,2.58,495,3.1,489,2.7,504,3.2,498,2.3,502,2.2,513,2.5,81709.66,84008.96,89887.02,88259.97,88689.49,90104.05,2.54,0.33,1.57,-2.92,1.38,0.93,NA,31.71,25.37,28.3,NA,NA,NA,NA,NA,NA,NA,NA,1.53,1.21,1.25,1.28,1.33,1.16
"55","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,4.42,NA,NA,NA,NA,370,3.95,373,3.6,368,3.7,384,4.3,397,2.4,387,2.7,398,2.9,3310.78,3520.28,4069.78,4695.68,5520.56,5937.29,1.29,2.86,6.22,-0.16,4.74,1.92,10,10.22,10.36,11.46,10.76,14.34,NA,NA,NA,NA,NA,NA,-0.99,-1.16,-0.84,-1.18,-0.91,-0.4
"56","Poland",498,2.34,508,2.41,490,2.5,495,2.44,495,2.84,479,4.46,497,2.88,508,2.79,500,2.6,526,3.1,518,3.6,518,3.1,501,2.5,504,2.4,506,2.5,8526.27,9135.65,10572.18,12126.22,13437.24,14642.1,5.66,3.63,6.25,2.75,1.61,3.91,NA,19.69,22.88,23.74,23.34,NA,NA,NA,NA,NA,NA,NA,0.31,0.58,0.35,0.94,1.05,0.87
"57","Portugal",474,3.02,493,2.9,466,3.4,466,3.07,487,2.91,470,4.52,478,3.73,472,3.56,489,3.07,489,3.7,487,3.8,488,3.8,501,2.4,492,2.5,498,2.7,21513.46,21540.07,22306.28,22128.85,21353.23,22016.84,3.06,-1.31,1.37,-3.07,-3.64,2.24,27.45,29.52,31.54,37.18,31.64,NA,NA,NA,NA,NA,NA,NA,1.4,1.29,0.95,0.79,0.78,0.92
"58","Qatar",349,0.86,379,0.89,NA,NA,318,1.02,368,0.7,NA,NA,NA,NA,312,1.2,372,0.76,384,0.7,376,0.8,388,0.8,418,1,402,1.3,402,1,60858.19,60460.42,66623.14,65769.01,70396.82,67277.24,NA,-2.75,8,-2.22,-3.13,-0.92,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,1.16,1.19,0.93,1.22,1.22,1
"59","Romania",418,4.2,428,3.36,NA,NA,415,4.21,427,3.41,428,3.47,NA,NA,396,4.69,424,4.09,439,3.3,445,3.8,438,4,435,3.2,444,3.8,434,4.1,4910.18,5986.52,7433.01,8419.28,8582.42,9639.39,2.53,6.29,8.7,-5.12,1.69,4.46,NA,13.36,NA,16.26,12.4,NA,NA,NA,NA,NA,NA,NA,-0.38,0.32,0.15,0.36,0.08,0.19
